League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Player,Player_Href,Player_Num,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Nicolás Cordero,/en/players/78f10ec0/Nicolas-Cordero,27,ARG,FW,24-276,82,2,1,0,1,1,2,4,50,2,2,0,2,1,3,2,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Rubio Rubin,/en/players/9bad7100/Rubio-Rubin,28,GUA,FW,27-317,8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Ettson Ayon,/en/players/5329413c/Ettson-Ayon,26,MEX,FW,22-292,60,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Facundo Batista,/en/players/02cf308a/Facundo-Batista,9,URU,FW,24-361,30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Jaime Gómez Valencia,/en/players/b083864c/Jaime-Gomez-Valencia,12,MEX,LM,30-179,82,5,1,3,1,1,3,4,75,1,0,0,0,0,5,0,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Marco García,/en/players/2fcbe28b/Marco-Garcia,22,MEX,LM,23-360,8,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Federico Lértora,/en/players/8e8cceac/Federico-Lertora,14,ARG,CM,33-191,59,0,0,0,0,0,0,0,NA,0,2,2,0,0,0,1,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Raúl Sandoval,/en/players/d88d0a41/Raul-Sandoval,13,MEX,CM,23-359,31,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Kevin Escamilla,/en/players/deee261c/Kevin-Escamilla,5,MEX,CM,29-325,90,4,0,2,2,0,2,4,50,2,0,0,0,1,5,0,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Pablo Barrera,/en/players/ff70b131/Pablo-Barrera,8,MEX,RM,36-205,88,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Jordan Sierra,/en/players/6ea0fa68/Jordan-Sierra,23,ECU,RM,26-264,2,1,0,1,0,0,0,0,NA,0,0,0,0,0,1,1,0
Liga MX,2024-01-12,Liga MX (Clausura 2024 Regular Season),Querétaro,4-4-2,2,0.7,Emanuel Gularte · 7&rsquor; Pablo Ortiz · 56&rsquor;,3,0,Toluca,5-4-1,2,1.1,Edgar López · 66&rsquor; Federico Pereira · 90+6&rsquor;,2,0,https://fbref.com/en/matches/854e08b7/Queretaro-Toluca-January-12-2024-Liga-MX,Querétaro,Home,Pablo Ortiz,/en/players/84a0ee57/Pablo-Ortiz,33,MEX,LB,21-282,90,3,1,0,3,0,2,4,50,2,0,0,0,0,3,4,0
